Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0001779,East Baton Rouge Parish,22033,2020-02-29,NODE_0001781,East Baton Rouge Parish,22033,2020-03-01,1
NODE_0001781,East Baton Rouge Parish,22033,2020-03-01,NODE_0001783,East Baton Rouge Parish,22033,2020-03-02,1
NODE_0001944,East Baton Rouge Parish,22033,2020-04-20,hCoV-19/USA/LA-GBCL-26513064/2020,East Baton Rouge Parish,22033,2020-04-21,1
NODE_0001944,East Baton Rouge Parish,22033,2020-04-20,hCoV-19/USA/LA-GBCL-26629269/2020,East Baton Rouge Parish,22033,2020-04-21,1
NODE_0001783,East Baton Rouge Parish,22033,2020-03-02,NODE_0001786,East Baton Rouge Parish,22033,2020-03-03,1
NODE_0001786,East Baton Rouge Parish,22033,2020-03-03,hCoV-19/USA/LA-GBCL-26791780/2020,East Baton Rouge Parish,22033,2020-04-04,32
NODE_0001807,Union Parish,22111,2020-05-24,NODE_0001808,Union Parish,22111,2020-06-01,8
NODE_0001808,Union Parish,22111,2020-06-01,hCoV-19/USA/LA-EVTL404/2020,Union Parish,22111,2020-06-01,0
NODE_0001808,Union Parish,22111,2020-06-01,hCoV-19/USA/LA-EVTL879/2020,Caddo Parish,22017,2020-07-05,34
NODE_0001807,Union Parish,22111,2020-05-24,NODE_0001809,Union Parish,22111,2020-05-27,3
NODE_0001809,Union Parish,22111,2020-05-27,NODE_0001810,Union Parish,22111,2020-06-01,5
NODE_0001810,Union Parish,22111,2020-06-01,hCoV-19/USA/LA-EVTL398/2020,Union Parish,22111,2020-06-01,0
NODE_0001809,Union Parish,22111,2020-05-27,NODE_0001811,Union Parish,22111,2020-06-01,5
NODE_0001811,Union Parish,22111,2020-06-01,hCoV-19/USA/LA-EVTL381/2020,Union Parish,22111,2020-06-01,0
NODE_0001811,Union Parish,22111,2020-06-01,hCoV-19/USA/LA-EVTL400/2020,Union Parish,22111,2020-06-01,0
NODE_0001814,East Baton Rouge Parish,22033,2020-03-08,NODE_0001940,East Baton Rouge Parish,22033,2020-04-16,39
NODE_0001940,East Baton Rouge Parish,22033,2020-04-16,hCoV-19/USA/LA-GBCL-26492481/2020,East Baton Rouge Parish,22033,2020-04-25,9
NODE_0001940,East Baton Rouge Parish,22033,2020-04-16,hCoV-19/USA/LA-GBCL-26544542/2020,East Baton Rouge Parish,22033,2020-04-18,2
